Hora,Tratamiento,Datos
3h,Control,1
3h,Control,1
3h,Control,1
3h,DMSO,0.969745223
3h,DMSO,0.959139785
3h,DMSO,0.955078125
3h,31.25 µM,0.757961783
3h,31.25 µM,0.741935484
3h,31.25 µM,0.77734375
3h,62.50 µm,0.686305732
3h,62.50 µm,0.733333333
3h,62.50 µm,0.6953125
3h,125.00 µM,0.644904459
3h,125.00 µM,0.675268817
3h,125.00 µM,0.65625
3h,250.00 µM,0.630573248
3h,250.00 µM,0.640860215
3h,250.00 µM,0.642578125
3h,500.00 µM,0.555732484
3h,500.00 µM,0.567741935
3h,500.00 µM,0.587890625
3h,750.00 µM,0.460191083
3h,750.00 µM,0.432258065
3h,750.00 µM,0.4453125
3h,1000.00 µM,0.272292994
3h,1000.00 µM,0.210752688
3h,1000.00 µM,0.251953125
3h,Control,1
3h,Control,1
3h,Control,1
6h,DMSO,0.969745223
6h,DMSO,0.959139785
6h,DMSO,0.955078125
6h,31.25 µM,0.757961783
6h,31.25 µM,0.741935484
6h,31.25 µM,0.77734375
6h,62.50 µm,0.686305732
6h,62.50 µm,0.733333333
6h,62.50 µm,0.6953125
6h,125.00 µM,0.644904459
6h,125.00 µM,0.675268817
6h,125.00 µM,0.65625
6h,250.00 µM,0.630573248
6h,250.00 µM,0.640860215
6h,250.00 µM,0.642578125
6h,500.00 µM,0.555732484
6h,500.00 µM,0.567741935
6h,500.00 µM,0.587890625
6h,750.00 µM,0.460191083
6h,750.00 µM,0.432258065
6h,750.00 µM,0.4453125
6h,1000.00 µM,0.272292994
6h,1000.00 µM,0.210752688
6h,1000.00 µM,0.251953125
3h,Control,1
3h,Control,1
3h,Control,1
12h,DMSO,0.913919414
12h,DMSO,0.934193548
12h,DMSO,0.951381215
12h,31.25 µM,0.605311355
12h,31.25 µM,0.597419355
12h,31.25 µM,0.58121547
12h,62.50 µm,0.522893773
12h,62.50 µm,0.534193548
12h,62.50 µm,0.542541436
12h,125.00 µM,0.555860806
12h,125.00 µM,0.553548387
12h,125.00 µM,0.551381215
12h,250.00 µM,0.544871795
12h,250.00 µM,0.569032258
12h,250.00 µM,0.560220994
12h,500.00 µM,0.336996337
12h,500.00 µM,0.345806452
12h,500.00 µM,0.340331492
12h,750.00 µM,0.266483516
12h,750.00 µM,0.270967742
12h,750.00 µM,0.251612903
12h,1000.00 µM,0.15018315
12h,1000.00 µM,0.12516129
12h,1000.00 µM,0.141935484
3h,Control,1
3h,Control,1
3h,Control,1
24h,DMSO,0.980523094
24h,DMSO,0.978574988
24h,DMSO,0.976408281
24h,31.25 µM,0.557595993
24h,31.25 µM,0.556053812
24h,31.25 µM,0.561386615
24h,62.50 µm,0.49638286
24h,62.50 µm,0.495266567
24h,62.50 µm,0.494944632
24h,125.00 µM,0.53311074
24h,125.00 µM,0.527154958
24h,125.00 µM,0.534424651
24h,250.00 µM,0.539788536
24h,250.00 µM,0.53712008
24h,250.00 µM,0.537313433
24h,500.00 µM,0.333889816
24h,500.00 µM,0.352765321
24h,500.00 µM,0.334135773
24h,750.00 µM,0.130773511
24h,750.00 µM,0.178375685
24h,750.00 µM,0.156475686
24h,1000.00 µM,0.066777963
24h,1000.00 µM,0.107623318
24h,1000.00 µM,0.096774194
