Tratamiento,horas,Valor,sd
Control,3h,1,0
Control,6h,1,0
Control,12h,1,0
Control,24h,1,0
DMSO,3h,0.9758,0.00427
DMSO,6h,0.9613,0.00437
DMSO,12h,0.9332,0.0108
DMSO,24h,0.9785,0.00119
8-OH-Q_31.25,3h,0.763,0.00713
8-OH-Q_31.25,6h,0.7591,0.0102
8-OH-Q_31.25,12h,0.5946,0.00709
8-OH-Q_31.25,24h,0.5583,0.00119
8-OH-Q_62.5,3h,0.7244,0.0074
8-OH-Q_62.5,6h,0.705,0.0144
8-OH-Q_62.5,12h,0.5332,0.00569
8-OH-Q_62.5,24h,0.4955,0.00158
8-OH-Q_125,3h,0.6998,0.00399
8-OH-Q_125,6h,0.6588,0.00886
8-OH-Q_125,12h,0.5536,0.00129
8-OH-Q_125,24h,0.5316,0.000436
8-OH-Q_ 250,3h,0.6768,0.00489
8-OH-Q_ 250,6h,0.638,0.00375
8-OH-Q_ 250,12h,0.558,0.00706
8-OH-Q_ 250,24h,0.5381,0.00224
8-OH-Q_500,3h,0.5808,0.0105
8-OH-Q_500,6h,0.5705,0.00938
8-OH-Q_500,12h,0.341,0.00257
8-OH-Q_500,24h,0.3403,0.000859
8-OH-Q _750,3h,0.461,0.00689
8-OH-Q _750,6h,0.4459,0.00807
8-OH-Q _750,12h,0.263,0.00585
8-OH-Q _750,24h,0.1552,0.00625
8-OH-Q_1000,3h,0.2769,0.0155
8-OH-Q_1000,6h,0.245,0.0181
8-OH-Q_1000,12h,0.1391,0.00736
8-OH-Q_1000,24h,0.0904,0.0138
